Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas148 Pavarde148 1 1 4 4 6 9
Vardas149 Pavarde149 6 9 2 8 7 8
Vardas150 Pavarde150 8 9 2 5 2 10
Vardas151 Pavarde151 4 2 8 10 5 10
Vardas152 Pavarde152 3 10 10 3 8 8
Vardas153 Pavarde153 8 1 2 3 2 2
Vardas154 Pavarde154 2 6 8 6 7 1
Vardas155 Pavarde155 4 6 10 3 1 1
Vardas156 Pavarde156 4 6 5 1 1 3
Vardas157 Pavarde157 2 2 6 6 1 5
Vardas158 Pavarde158 9 4 1 1 1 6
Vardas159 Pavarde159 9 5 8 2 3 7
Vardas160 Pavarde160 2 9 6 7 6 6
Vardas161 Pavarde161 8 10 10 7 9 10
Vardas162 Pavarde162 8 7 10 7 2 2
Vardas163 Pavarde163 6 6 5 2 8 10
Vardas164 Pavarde164 10 3 6 4 5 4
Vardas165 Pavarde165 6 3 3 9 9 7
Vardas166 Pavarde166 10 6 6 6 8 3
Vardas167 Pavarde167 7 2 5 10 4 2
Vardas168 Pavarde168 7 3 3 8 6 4
Vardas169 Pavarde169 1 1 1 2 7 7
Vardas170 Pavarde170 5 5 6 4 2 4
Vardas171 Pavarde171 9 9 9 8 7 7
Vardas172 Pavarde172 4 10 9 4 6 7
Vardas173 Pavarde173 10 1 10 2 7 6
Vardas174 Pavarde174 4 8 7 6 8 2
Vardas175 Pavarde175 2 8 9 3 2 9
Vardas176 Pavarde176 6 3 10 8 1 4
Vardas177 Pavarde177 6 10 6 7 4 5
Vardas178 Pavarde178 9 8 5 5 3 7
Vardas179 Pavarde179 4 3 8 4 1 6
Vardas180 Pavarde180 10 4 1 10 6 5
Vardas181 Pavarde181 8 2 9 5 8 10
Vardas182 Pavarde182 7 2 1 6 7 4
Vardas183 Pavarde183 7 8 4 1 7 8
Vardas184 Pavarde184 5 7 5 4 10 1
Vardas185 Pavarde185 6 2 3 6 8 9
Vardas186 Pavarde186 4 6 4 7 9 7
Vardas187 Pavarde187 8 5 10 1 9 3
Vardas188 Pavarde188 5 8 6 10 8 2
Vardas189 Pavarde189 1 10 7 1 6 3
Vardas190 Pavarde190 5 5 2 10 10 9
Vardas191 Pavarde191 1 2 4 4 2 6
Vardas192 Pavarde192 5 1 10 2 3 2
Vardas193 Pavarde193 1 4 9 4 9 3
Vardas194 Pavarde194 3 6 5 10 5 2
Vardas195 Pavarde195 1 3 10 5 2 9
Vardas196 Pavarde196 1 9 5 4 1 4
Vardas197 Pavarde197 9 2 7 5 6 8
Vardas198 Pavarde198 4 10 7 4 1 7
Vardas199 Pavarde199 1 2 7 1 8 2
Vardas200 Pavarde200 1 1 7 6 4 4
Vardas201 Pavarde201 2 10 9 6 1 9
Vardas202 Pavarde202 8 7 4 2 6 5
Vardas203 Pavarde203 6 9 10 9 7 8
Vardas204 Pavarde204 2 8 3 8 5 5
Vardas205 Pavarde205 7 1 1 2 3 1
Vardas206 Pavarde206 1 3 8 8 3 10
Vardas207 Pavarde207 9 8 10 3 6 7
Vardas208 Pavarde208 9 9 6 10 5 5
Vardas209 Pavarde209 4 3 5 3 4 10
Vardas210 Pavarde210 7 4 6 9 9 7
Vardas211 Pavarde211 4 7 4 4 2 10
Vardas212 Pavarde212 10 9 6 4 1 3
Vardas213 Pavarde213 6 9 2 9 10 9
Vardas214 Pavarde214 5 8 6 2 8 6
Vardas215 Pavarde215 5 8 10 2 1 1
Vardas216 Pavarde216 1 10 10 10 10 10
Vardas217 Pavarde217 1 5 8 4 10 10
Vardas218 Pavarde218 4 10 3 7 8 7
Vardas219 Pavarde219 5 9 5 10 4 5
Vardas220 Pavarde220 5 2 9 4 10 1
Vardas221 Pavarde221 4 8 8 6 4 4
Vardas222 Pavarde222 10 6 10 3 8 1
Vardas223 Pavarde223 8 1 9 10 8 5
Vardas224 Pavarde224 8 9 1 5 8 9
Vardas225 Pavarde225 5 1 7 9 6 3
Vardas226 Pavarde226 1 8 6 5 1 8
Vardas227 Pavarde227 9 9 7 3 7 3
Vardas228 Pavarde228 6 3 1 10 3 2
Vardas229 Pavarde229 3 5 5 1 7 3
Vardas230 Pavarde230 3 9 1 6 1 1
Vardas231 Pavarde231 4 2 1 3 3 3
Vardas232 Pavarde232 10 3 1 6 2 10
Vardas233 Pavarde233 2 5 2 9 10 10
Vardas234 Pavarde234 2 6 9 4 6 5
Vardas235 Pavarde235 3 10 2 5 2 1
Vardas236 Pavarde236 3 4 8 4 9 2
Vardas237 Pavarde237 2 3 1 1 1 6
Vardas238 Pavarde238 3 7 4 5 10 10
Vardas239 Pavarde239 9 5 10 6 4 2
Vardas240 Pavarde240 5 1 6 10 10 6
Vardas241 Pavarde241 9 5 2 9 4 3
Vardas242 Pavarde242 3 8 6 7 7 8
Vardas243 Pavarde243 5 2 5 9 2 7
Vardas244 Pavarde244 8 9 1 10 7 9
Vardas245 Pavarde245 3 7 1 2 10 8
Vardas246 Pavarde246 10 3 3 8 3 9
Vardas247 Pavarde247 9 4 4 6 2 7
Vardas248 Pavarde248 6 3 8 3 1 2
Vardas249 Pavarde249 2 6 10 8 2 2
Vardas250 Pavarde250 3 9 8 5 7 2
Vardas251 Pavarde251 8 2 9 8 7 7
Vardas252 Pavarde252 5 8 10 9 1 5
Vardas253 Pavarde253 6 3 7 9 4 8
Vardas254 Pavarde254 10 10 7 9 1 5
Vardas255 Pavarde255 10 3 1 1 5 4
Vardas256 Pavarde256 9 5 8 7 9 4
Vardas257 Pavarde257 4 9 6 3 9 1
Vardas258 Pavarde258 3 3 6 3 3 3
Vardas259 Pavarde259 6 5 5 4 5 10
Vardas260 Pavarde260 1 9 2 5 8 8
Vardas261 Pavarde261 4 4 4 6 10 5
Vardas262 Pavarde262 10 9 4 7 6 7
Vardas263 Pavarde263 9 7 1 4 6 6
Vardas264 Pavarde264 9 8 10 2 6 8
Vardas265 Pavarde265 9 5 10 1 7 10
Vardas266 Pavarde266 10 10 1 1 9 10
Vardas267 Pavarde267 10 8 3 10 3 6
Vardas268 Pavarde268 6 9 9 10 6 4
Vardas269 Pavarde269 7 8 3 4 6 9
Vardas270 Pavarde270 6 3 8 4 7 1
Vardas271 Pavarde271 7 10 3 4 8 6
Vardas272 Pavarde272 5 9 8 5 4 7
Vardas273 Pavarde273 5 10 5 6 6 9
Vardas274 Pavarde274 1 10 10 2 4 7
Vardas275 Pavarde275 8 6 4 1 6 10
Vardas276 Pavarde276 9 7 1 8 3 7
Vardas277 Pavarde277 2 3 2 3 6 4
Vardas278 Pavarde278 1 2 4 5 10 7
Vardas279 Pavarde279 6 10 8 1 3 7
Vardas280 Pavarde280 6 6 6 4 7 8
Vardas281 Pavarde281 3 4 3 2 7 3
Vardas282 Pavarde282 8 7 7 2 5 8
Vardas283 Pavarde283 6 9 5 3 1 3
Vardas284 Pavarde284 6 4 6 7 5 2
Vardas285 Pavarde285 9 8 4 4 3 7
Vardas286 Pavarde286 8 9 6 10 1 7
Vardas287 Pavarde287 4 10 6 7 7 2
Vardas288 Pavarde288 10 5 5 5 6 3
Vardas289 Pavarde289 4 3 6 4 8 5
Vardas290 Pavarde290 7 6 9 7 3 4
Vardas291 Pavarde291 4 5 5 10 4 9
Vardas292 Pavarde292 7 6 8 3 10 6
Vardas293 Pavarde293 7 10 7 3 8 1
Vardas294 Pavarde294 2 4 3 10 10 1
Vardas295 Pavarde295 2 5 2 3 3 10
Vardas296 Pavarde296 3 8 7 7 3 5
Vardas297 Pavarde297 9 1 1 10 8 2
Vardas298 Pavarde298 7 2 4 5 7 10
Vardas299 Pavarde299 7 5 9 8 6 9
Vardas300 Pavarde300 6 5 5 6 9 10
Vardas301 Pavarde301 5 5 3 4 10 9
Vardas302 Pavarde302 5 1 8 6 5 3
Vardas303 Pavarde303 1 2 6 4 3 8
Vardas304 Pavarde304 6 7 8 3 6 9
Vardas305 Pavarde305 7 5 2 8 1 9
Vardas306 Pavarde306 7 3 2 2 5 8
Vardas307 Pavarde307 8 4 2 2 1 4
Vardas308 Pavarde308 1 2 10 2 8 7
Vardas309 Pavarde309 4 3 2 7 10 4
Vardas310 Pavarde310 2 2 9 4 7 3
Vardas311 Pavarde311 1 8 10 10 9 5
Vardas312 Pavarde312 6 9 7 2 7 2
Vardas313 Pavarde313 8 5 6 2 3 10
Vardas314 Pavarde314 10 5 8 9 4 5
Vardas315 Pavarde315 6 1 4 10 1 8
Vardas316 Pavarde316 6 4 7 8 2 4
Vardas317 Pavarde317 7 2 4 9 6 4
Vardas318 Pavarde318 7 2 7 3 9 10
Vardas319 Pavarde319 7 10 10 4 5 6
Vardas320 Pavarde320 8 2 4 2 4 3
Vardas321 Pavarde321 9 7 9 4 7 8
Vardas322 Pavarde322 3 1 4 3 5 3
Vardas323 Pavarde323 1 1 10 9 3 1
Vardas324 Pavarde324 2 4 3 8 3 2
Vardas325 Pavarde325 5 2 9 5 10 1
Vardas326 Pavarde326 1 5 8 7 10 10
Vardas327 Pavarde327 1 3 6 5 1 10
Vardas328 Pavarde328 3 5 5 9 3 9
Vardas329 Pavarde329 4 9 10 2 1 4
Vardas330 Pavarde330 6 1 5 8 10 1
Vardas331 Pavarde331 4 9 1 4 3 5
Vardas332 Pavarde332 4 5 2 10 8 1
Vardas333 Pavarde333 7 8 4 4 6 10
Vardas334 Pavarde334 7 6 9 6 2 9
Vardas335 Pavarde335 1 9 4 8 1 2
Vardas336 Pavarde336 5 4 4 1 1 10
Vardas337 Pavarde337 9 9 3 5 6 2
Vardas338 Pavarde338 3 4 2 1 6 8
Vardas339 Pavarde339 7 2 6 6 1 4
Vardas340 Pavarde340 6 9 8 10 4 4
Vardas341 Pavarde341 7 6 5 3 5 5
Vardas342 Pavarde342 6 6 7 2 6 4
Vardas343 Pavarde343 7 3 1 1 3 7
Vardas344 Pavarde344 10 10 3 1 1 9
Vardas345 Pavarde345 4 10 3 10 5 10
Vardas346 Pavarde346 5 9 6 9 8 2
Vardas347 Pavarde347 4 1 9 8 5 10
Vardas348 Pavarde348 8 6 6 9 10 1
Vardas349 Pavarde349 4 6 7 9 10 9
Vardas350 Pavarde350 2 7 6 5 9 4
Vardas351 Pavarde351 1 7 1 5 7 6
Vardas352 Pavarde352 1 9 5 1 8 7
Vardas353 Pavarde353 10 2 6 2 3 2
Vardas354 Pavarde354 4 5 10 5 6 6
Vardas355 Pavarde355 6 6 10 3 7 10
Vardas356 Pavarde356 5 9 3 3 7 1
Vardas357 Pavarde357 1 3 9 10 8 9
Vardas358 Pavarde358 4 4 9 5 10 2
Vardas359 Pavarde359 9 1 4 10 2 8
Vardas360 Pavarde360 7 7 1 1 10 4
Vardas361 Pavarde361 8 9 2 4 7 2
Vardas362 Pavarde362 10 8 6 8 2 9
Vardas363 Pavarde363 7 5 7 8 1 1
Vardas364 Pavarde364 2 1 7 2 4 3
Vardas365 Pavarde365 8 5 8 9 6 6
Vardas366 Pavarde366 8 10 4 8 2 1
Vardas367 Pavarde367 10 1 8 10 6 10
Vardas368 Pavarde368 3 2 10 4 4 2
Vardas369 Pavarde369 7 9 7 9 9 8
Vardas370 Pavarde370 5 7 5 7 7 9
Vardas371 Pavarde371 2 1 2 5 10 2
Vardas372 Pavarde372 8 10 4 8 8 2
Vardas373 Pavarde373 6 2 6 6 9 10
Vardas374 Pavarde374 7 5 2 10 3 3
Vardas375 Pavarde375 5 10 2 5 4 7
Vardas376 Pavarde376 5 4 4 6 9 5
Vardas377 Pavarde377 10 9 2 9 6 5
Vardas378 Pavarde378 5 9 2 7 4 5
Vardas379 Pavarde379 3 10 9 2 10 7
Vardas380 Pavarde380 1 2 8 5 1 3
Vardas381 Pavarde381 10 3 6 9 4 1
Vardas382 Pavarde382 7 10 4 1 6 4
Vardas383 Pavarde383 2 8 9 7 6 1
Vardas384 Pavarde384 6 8 6 5 3 4
Vardas385 Pavarde385 7 3 4 2 6 4
Vardas386 Pavarde386 7 6 8 1 9 8
Vardas387 Pavarde387 9 7 6 8 1 3
Vardas388 Pavarde388 4 2 5 8 1 5
Vardas389 Pavarde389 4 4 7 5 10 2
Vardas390 Pavarde390 6 6 1 3 2 3
Vardas391 Pavarde391 1 5 4 6 4 1
Vardas392 Pavarde392 4 2 10 7 9 10
Vardas393 Pavarde393 8 9 8 2 1 10
Vardas394 Pavarde394 10 10 3 3 9 1
Vardas395 Pavarde395 2 3 6 5 6 2
Vardas396 Pavarde396 2 7 5 6 8 4
Vardas397 Pavarde397 1 9 9 5 5 6
Vardas398 Pavarde398 3 8 6 8 7 9
Vardas399 Pavarde399 6 4 5 1 3 1
Vardas400 Pavarde400 8 9 7 3 5 3
Vardas401 Pavarde401 5 9 6 7 5 2
Vardas402 Pavarde402 5 3 2 2 2 2
Vardas403 Pavarde403 3 6 5 4 10 3
Vardas404 Pavarde404 7 4 6 6 10 2
Vardas405 Pavarde405 9 2 4 2 9 3
Vardas406 Pavarde406 10 8 4 7 1 10
Vardas407 Pavarde407 4 7 3 4 3 7
Vardas408 Pavarde408 10 4 2 3 9 5
Vardas409 Pavarde409 9 4 9 6 6 8
Vardas410 Pavarde410 6 9 10 4 8 1
Vardas411 Pavarde411 8 4 5 3 3 3
Vardas412 Pavarde412 9 6 5 9 1 4
Vardas413 Pavarde413 9 3 2 1 6 4
Vardas414 Pavarde414 1 6 4 7 4 6
Vardas415 Pavarde415 1 5 2 3 2 5
Vardas416 Pavarde416 7 10 9 1 6 2
Vardas417 Pavarde417 1 8 2 8 4 10
Vardas418 Pavarde418 3 10 3 5 7 3
Vardas419 Pavarde419 10 5 4 5 4 4
Vardas420 Pavarde420 10 2 1 10 2 3
Vardas421 Pavarde421 2 7 5 4 2 8
Vardas422 Pavarde422 6 9 8 2 1 2
Vardas423 Pavarde423 4 3 2 1 5 9
Vardas424 Pavarde424 3 6 8 9 3 4
Vardas425 Pavarde425 9 3 7 6 1 7
Vardas426 Pavarde426 10 2 6 4 6 5
Vardas427 Pavarde427 9 9 8 2 10 8
Vardas428 Pavarde428 6 8 5 6 1 9
Vardas429 Pavarde429 1 9 7 7 8 1
Vardas430 Pavarde430 10 4 4 9 6 6
Vardas431 Pavarde431 6 10 8 4 3 10
Vardas432 Pavarde432 3 1 7 5 3 9
Vardas433 Pavarde433 6 1 7 10 4 6
Vardas434 Pavarde434 2 4 3 6 6 5
Vardas435 Pavarde435 8 3 4 10 4 3
Vardas436 Pavarde436 5 1 4 9 6 3
Vardas437 Pavarde437 2 3 6 6 3 1
Vardas438 Pavarde438 5 7 7 2 2 10
Vardas439 Pavarde439 10 1 10 9 7 7
Vardas440 Pavarde440 7 1 4 6 6 3
Vardas441 Pavarde441 5 3 7 4 10 10
Vardas442 Pavarde442 3 7 6 6 8 2
Vardas443 Pavarde443 10 6 1 3 1 1
Vardas444 Pavarde444 6 7 2 8 10 10
Vardas445 Pavarde445 4 7 4 1 2 3
Vardas446 Pavarde446 7 7 7 6 1 6
Vardas447 Pavarde447 4 1 7 5 9 10
Vardas448 Pavarde448 2 5 3 10 9 5
Vardas449 Pavarde449 2 5 10 5 10 1
Vardas450 Pavarde450 9 8 4 4 1 10
Vardas451 Pavarde451 9 3 6 10 10 4
Vardas452 Pavarde452 4 5 5 2 10 2
Vardas453 Pavarde453 3 2 8 8 7 10
Vardas454 Pavarde454 1 5 8 4 9 6
Vardas455 Pavarde455 7 3 7 8 8 8
Vardas456 Pavarde456 7 10 1 4 7 4
Vardas457 Pavarde457 9 2 6 1 6 7
Vardas458 Pavarde458 6 1 6 10 2 5
Vardas459 Pavarde459 3 1 2 8 4 9
Vardas460 Pavarde460 6 6 4 9 4 7
Vardas461 Pavarde461 6 7 7 2 5 7
Vardas462 Pavarde462 10 10 5 1 9 10
Vardas463 Pavarde463 1 10 9 3 8 5
Vardas464 Pavarde464 3 7 2 9 6 8
Vardas465 Pavarde465 3 9 7 5 8 7
Vardas466 Pavarde466 4 1 9 9 6 2
Vardas467 Pavarde467 8 5 7 6 1 9
Vardas468 Pavarde468 4 2 3 7 8 2
Vardas469 Pavarde469 8 3 8 6 7 5
Vardas470 Pavarde470 6 8 2 1 10 7
Vardas471 Pavarde471 4 6 3 4 8 7
Vardas472 Pavarde472 6 2 4 1 6 8
Vardas473 Pavarde473 2 7 7 1 5 4
Vardas474 Pavarde474 4 6 2 2 7 4
Vardas475 Pavarde475 4 8 5 3 4 5
Vardas476 Pavarde476 7 8 6 1 3 9
Vardas477 Pavarde477 9 1 4 5 1 5
Vardas478 Pavarde478 1 7 8 5 5 7
Vardas479 Pavarde479 10 6 4 8 7 10
Vardas480 Pavarde480 5 2 9 8 10 4
Vardas481 Pavarde481 4 4 8 6 4 1
Vardas482 Pavarde482 8 2 5 3 2 8
Vardas483 Pavarde483 1 10 5 6 1 4
Vardas484 Pavarde484 7 10 3 6 3 10
Vardas485 Pavarde485 6 9 1 2 6 9
Vardas486 Pavarde486 7 1 2 3 2 1
Vardas487 Pavarde487 9 6 4 1 7 8
Vardas488 Pavarde488 6 8 4 10 8 4
Vardas489 Pavarde489 9 10 1 9 2 8
Vardas490 Pavarde490 8 9 2 10 1 1
Vardas491 Pavarde491 7 7 7 4 7 5
Vardas492 Pavarde492 3 8 8 8 7 1
Vardas493 Pavarde493 7 7 3 10 10 6
Vardas494 Pavarde494 5 6 2 4 4 5
Vardas495 Pavarde495 1 8 10 1 5 6
Vardas496 Pavarde496 7 9 6 9 4 4
Vardas497 Pavarde497 8 2 2 4 8 1
Vardas498 Pavarde498 10 2 3 6 2 10
Vardas499 Pavarde499 8 9 9 7 5 6
Vardas500 Pavarde500 4 4 3 1 4 6
Vardas501 Pavarde501 1 2 4 5 2 9
Vardas502 Pavarde502 10 9 4 3 3 9
Vardas503 Pavarde503 4 1 8 3 4 9
Vardas504 Pavarde504 3 5 6 5 3 3
Vardas505 Pavarde505 6 10 4 1 6 7
Vardas506 Pavarde506 8 7 8 3 4 10
Vardas507 Pavarde507 7 6 10 5 6 6
Vardas508 Pavarde508 2 6 7 10 3 4
Vardas509 Pavarde509 8 1 1 1 9 5
Vardas510 Pavarde510 4 7 10 7 9 9
Vardas511 Pavarde511 5 10 4 4 5 2
Vardas512 Pavarde512 1 1 8 2 7 7
Vardas513 Pavarde513 3 8 10 2 3 8
Vardas514 Pavarde514 10 6 8 10 4 7
Vardas515 Pavarde515 9 8 8 9 10 5
Vardas516 Pavarde516 7 10 7 9 1 8
Vardas517 Pavarde517 10 9 2 1 9 7
Vardas518 Pavarde518 7 6 5 4 9 2
Vardas519 Pavarde519 10 2 4 3 8 1
Vardas520 Pavarde520 5 5 7 10 5 4
Vardas521 Pavarde521 9 3 2 1 5 7
Vardas522 Pavarde522 1 5 8 3 3 8
Vardas523 Pavarde523 6 10 7 6 4 5
Vardas524 Pavarde524 1 6 10 8 9 8
Vardas525 Pavarde525 4 5 3 4 4 8
Vardas526 Pavarde526 1 1 4 5 2 7
Vardas527 Pavarde527 1 7 1 8 3 7
Vardas528 Pavarde528 4 8 10 10 8 4
Vardas529 Pavarde529 7 10 1 9 9 8
Vardas530 Pavarde530 8 2 4 5 7 10
Vardas531 Pavarde531 5 8 1 2 3 1
Vardas532 Pavarde532 1 1 8 1 5 2
Vardas533 Pavarde533 7 3 4 6 4 8
Vardas534 Pavarde534 9 5 8 5 8 2
Vardas535 Pavarde535 6 2 2 5 8 5
Vardas536 Pavarde536 4 6 10 1 3 1
Vardas537 Pavarde537 4 3 6 8 9 6
Vardas538 Pavarde538 10 7 5 4 3 8
Vardas539 Pavarde539 6 2 8 2 7 6
Vardas540 Pavarde540 4 10 1 6 6 3
Vardas541 Pavarde541 1 7 3 8 7 1
Vardas542 Pavarde542 8 6 1 9 2 10
Vardas543 Pavarde543 7 1 6 10 6 2
Vardas544 Pavarde544 1 2 9 6 9 2
Vardas545 Pavarde545 3 2 10 8 8 6
Vardas546 Pavarde546 5 9 7 5 8 3
Vardas547 Pavarde547 5 2 10 6 7 3
Vardas548 Pavarde548 6 8 1 7 6 8
Vardas549 Pavarde549 7 4 5 9 6 6
Vardas550 Pavarde550 2 5 8 8 5 5
Vardas551 Pavarde551 10 1 9 9 4 5
Vardas552 Pavarde552 5 2 4 4 6 4
Vardas553 Pavarde553 2 5 6 2 1 4
Vardas554 Pavarde554 6 7 7 4 2 2
Vardas555 Pavarde555 9 7 3 3 3 5
Vardas556 Pavarde556 5 8 8 5 6 3
Vardas557 Pavarde557 9 8 4 7 3 7
